timestamp,symbol,timeframe,direction,tier,composite_score,crt_score,smc_score,session,session_bullish,session_bearish,entry,stop_loss,take_profit,sl_source,rr,risk,reward,current_price,distance_to_entry_pct,scenario,freshness_state,age_minutes,displacement_ratio,retracement_pct,in_optimal_ote,premium_discount,ob_type,ob_touches,fvg_type,fvg_filled,msb_confirmed,msb_direction,liquidity_swept,liquidity_direction,confluence_count,signals_list,action,outcome,atr,atr_sl_distance,mtf_alignment,mtf_details
2026-07-26T20:03:42.745530,GLMUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.1005,0.0987,0.1043,SSL,2.11,0.0018,0.0038,0.1005,0.0,OB_BOUNCE,hot,13,1.58,62.5,False,,BULLISH_OB,3,,,False,,,,0,,revalidated,,0.00149,0.0018,0,
2026-07-26T20:03:42.748982,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64633.31,64828.36357,62733.09851,ATR_min,9.74,195.05357,1900.21149,64633.31,0.0,FVG_FILL_ENTRY,hot,13,4.95,69.1,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,390.10714,195.05357,0,
2026-07-26T20:03:42.753886,BNSOLUSDT,4h,BEARISH,WATCH,40,28,12,LONDON,5,5,84.4,85.8,82.3,BSL,1.5,1.4,2.1,84.4,0.0,FVG_FILL_ENTRY,hot,13,3.56,90.0,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,0.72857,1.4,0,
2026-07-26T20:03:42.757765,TSLABUSDT,4h,BEARISH,WATCH,43,23,20,LONDON,5,5,315.68,317.26286,307.72857,ATR_min,5.02,1.58286,7.95143,315.68,0.0,OB_BOUNCE,hot,13,7.01,46.0,False,,BEARISH_OB,4,BEARISH,,False,,,,0,,revalidated,,3.16571,1.58286,0,
2026-07-26T20:03:42.761531,INTCBUSDT,4h,BEARISH,WATCH,41,33,8,LONDON,5,5,95.1,96.11143,91.65428,ATR_min,3.41,1.01143,3.44572,95.1,0.0,FVG_FILL_ENTRY,hot,13,3.59,56.5,True,,,,BEARISH,,False,,,,0,,revalidated,,2.02286,1.01143,0,
2026-07-26T20:03:42.766921,METABUSDT,1h,BULLISH,WATCH,48,38,10,LONDON,5,5,600.03321,598.42,611.41051,SSL,7.05,1.61321,11.3773,599.0,0.17,DISPLACEMENT_RETRACEMENT,hot,13,3.91,56.0,True,,BULLISH_OB,11,BULLISH,,False,,,,0,,revalidated,,1.63429,1.61321,0,
2026-07-26T20:03:47.820454,BTCUSDT,4h,BEARISH,OPPORTUNITY,62,48,14,LONDON,5,5,64664.0,65406.90571,62416.71105,ATR_max,3.02,742.90571,2247.28895,64664.0,0.0,FVG_FILL_ENTRY,hot,,4.91,66.3,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,371.45286,742.90571,0,
2026-07-26T20:03:48.018745,MTLUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.22136,0.219,0.22714,SSL,2.45,0.00236,0.00578,0.22,0.62,OB_BOUNCE,hot,,2.62,66.7,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00236,0.00236,0,
2026-07-26T20:03:48.902111,GLMUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.1005,0.0987,0.1043,SSL,2.11,0.0018,0.0038,0.1005,0.0,OB_BOUNCE,hot,,1.58,62.5,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00149,0.0018,0,
2026-07-26T20:03:48.935879,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64633.31,64828.36357,62733.09851,ATR_min,9.74,195.05357,1900.21149,64633.31,0.0,FVG_FILL_ENTRY,hot,,4.95,69.1,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,390.10714,195.05357,0,
2026-07-26T20:03:50.110104,METABUSDT,1h,BULLISH,WATCH,48,38,10,LONDON,5,5,600.03321,598.42,611.41051,SSL,7.05,1.61321,11.3773,599.0,0.17,DISPLACEMENT_RETRACEMENT,hot,,3.91,56.0,True,,BULLISH_OB,11,BULLISH,,False,,,,0,,new,,1.63429,1.61321,0,
2026-07-26T20:18:49.365683,BTCUSDT,4h,BEARISH,OPPORTUNITY,62,48,14,LONDON,5,5,64664.0,65406.90571,62416.71105,ATR_max,3.02,742.90571,2247.28895,64664.0,0.0,FVG_FILL_ENTRY,hot,13,4.91,66.3,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,371.45286,742.90571,0,
2026-07-26T20:18:49.365683,MTLUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.22136,0.219,0.22714,SSL,2.45,0.00236,0.00578,0.22,0.62,OB_BOUNCE,hot,13,2.62,66.7,False,,BULLISH_OB,3,,,False,,,,0,,revalidated,,0.00236,0.00236,0,
2026-07-26T20:18:49.381801,GLMUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.1005,0.0987,0.1043,SSL,2.11,0.0018,0.0038,0.1005,0.0,OB_BOUNCE,hot,13,1.58,62.5,False,,BULLISH_OB,3,,,False,,,,0,,revalidated,,0.00149,0.0018,0,
2026-07-26T20:18:49.383319,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64633.31,64828.36357,62733.09851,ATR_min,9.74,195.05357,1900.21149,64633.31,0.0,FVG_FILL_ENTRY,hot,13,4.95,69.1,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,revalidated,,390.10714,195.05357,0,
2026-07-26T20:18:49.383319,BTCUSDT,4h,BEARISH,OPPORTUNITY,62,48,14,LONDON,5,5,64664.0,65406.90571,62416.71105,ATR_max,3.02,742.90571,2247.28895,64664.0,0.0,FVG_FILL_ENTRY,hot,,4.91,66.3,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,371.45286,742.90571,0,
2026-07-26T20:18:49.534642,MTLUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.22136,0.219,0.22714,SSL,2.45,0.00236,0.00578,0.22,0.62,OB_BOUNCE,hot,,2.62,66.7,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00236,0.00236,0,
2026-07-26T20:18:50.266795,GLMUSDT,4h,BULLISH,WATCH,54,44,10,LONDON,5,5,0.1005,0.0987,0.1043,SSL,2.11,0.0018,0.0038,0.1005,0.0,OB_BOUNCE,hot,,1.58,62.5,False,,BULLISH_OB,3,,,False,,,,0,,new,,0.00149,0.0018,0,
2026-07-26T20:18:50.296078,WBTCUSDT,4h,BEARISH,WATCH,60,48,12,LONDON,5,5,64633.31,64828.36357,62733.09851,ATR_min,9.74,195.05357,1900.21149,64633.31,0.0,FVG_FILL_ENTRY,hot,,4.95,69.1,False,,BEARISH_OB,1,BEARISH,,False,,,,0,,new,,390.10714,195.05357,0,
2026-07-26T20:18:56.250834,METABUSDT,1h,BULLISH,WATCH,48,38,10,LONDON,5,5,600.03321,598.42,611.41051,SSL,7.05,1.61321,11.3773,599.0,0.17,DISPLACEMENT_RETRACEMENT,hot,14,3.91,56.0,True,,BULLISH_OB,11,BULLISH,,False,,,,0,,revalidated,,1.63429,1.61321,0,
2026-07-26T20:19:23.267080,METABUSDT,1h,BULLISH,WATCH,48,38,10,LONDON,5,5,600.03321,598.42,611.41051,SSL,7.05,1.61321,11.3773,599.0,0.17,DISPLACEMENT_RETRACEMENT,hot,,3.91,56.0,True,,BULLISH_OB,11,BULLISH,,False,,,,0,,new,,1.63429,1.61321,0,
2026-07-26T20:33:45.252924,INJUSDT,1h,BEARISH,WATCH,41,23,18,LONDON,5,5,4.949,4.97621,4.82834,ATR_min,4.43,0.02721,0.12066,4.949,0.0,OB_BOUNCE,hot,27,5.67,49.3,False,,BEARISH_OB,2,BEARISH,,False,,,,0,,revalidated,,0.05443,0.02721,0,
